scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Andhra Pradesh,1,7,7.365702,f,0,9459877,9459877,0.811933,1,t,East Godavari; West Godavari; Yanam,72639a9d-0d15-450d-b322-8e3e62cf1a66,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,8,7.863378,f,0,10099049,10099049,0.733282,2,t,Guntur; Krishna,6aed5d40-c257-4087-8346-ebe317008d82,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,3,7,6.877251,f,0,8832553,8832553,0.720573,1,t,Srikakulam; Visakhapatnam; Vizianagaram,8d9df5f3-defb-4517-a951-599c2c21019a,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,4,9,8.635171,f,0,11090274,11090274,0.686660,1,t,Anantapur; Kurnool; Prakasam,25fec2e0-3dac-4a77-b136-3adb7e0a3739,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,5,9,9.258499,f,0,11890823,11890823,0.787958,1,t,Chittoor; Kadapa(YSR); Sri Potti Sriramulu Nellore,2f2fa639-6589-47f9-8056-b14b8a822c24,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Assam,1,7,6.979899,f,0,8494264,8494264,0.669889,9,t,Biswanath; Cachar; Dima Hasao; Golaghat; Hailakandi; Hojai; Karbi Anglong East; Karbi Anglong West; Karimganj; Majuli,1bf5a975-b3ab-43a8-860a-a113e7a6632a,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,2,7,7.019710,f,0,8542712,8542712,0.735183,1,t,Charaideo; Dhemaji; Dibrugarh; Jorhat; Lakhimpur; Sivasagar; Tinsukia,88d72480-eeb4-4199-9eff-eaf705b9e992,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,3,8,8.028497,f,0,9770367,9770367,0.694102,1,t,Barpeta; Bongaigaon; Chirang; Dhubri; Goalpara; Kamrup; Kokrajhar; Nalbari; South Salmara-Mankachar,28d0f485-6062-436c-b720-b96d9e52f51d,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,4,7,6.971894,f,0,8484522,8484522,0.736997,2,t,Baksa; Darrang; Morigaon; Nagaon; Sonitpur; Udalguri,f3fe2f3a-af67-45ad-a457-5917af200807,a267d3e8-3d19-461c-ab45-204a28a37b49
Bihār,1,8,8.048173,f,0,10265688,10265688,0.656101,1,t,Banka; Bhagalpur; Katihar,e25eb061-0328-420a-83de-8dab228fdb5c,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,2,8,8.360995,f,0,10664703,10664703,0.805967,1,t,Pashchim Champaran; Purba Champaran,fe9e031c-fb95-45e6-8409-8c547bf819a3,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,3,6,5.863072,f,0,7478526,7478526,0.608902,1,t,Patna,55efe7a6-9970-44cf-90a5-91967422c71a,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,4,8,8.195469,f,0,10453569,10453569,0.799782,1,t,Darbhanga; Madhubani,7e1cd997-5d73-4daa-891e-a32d5eb6f27c,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,5,8,8.240417,f,0,10510902,10510902,0.689479,1,t,Araria; Madhepura; Supaul,d41415b1-2445-44f4-b13b-658d3e9b3c9e,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,6,6,5.762711,f,0,7350513,7350513,0.773222,1,t,Gopalganj; Siwan,20d9751b-78e3-4946-abb3-11eb4c15704d,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,7,8,8.123421,f,0,10361669,10361669,0.792925,1,t,Muzaffarpur; Sheohar; Sitamarhi,41c4186c-fbd1-4a4b-9a9a-4bfda3d2bf12,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,8,8,7.925380,f,0,10109062,10109062,0.838328,1,t,Aurangabad; Buxar; Kaimur (Bhabua); Rohtas,7b04fa0b-2604-4633-ac33-6ba7f1fde1a0,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,9,7,6.782944,f,0,8651851,8651851,0.638248,1,t,Arwal; Bhojpur; Saran,22f174a1-e8ee-474f-bd3c-f1b898faa097,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,10,7,6.821131,f,0,8700559,8700559,0.676463,1,t,Begusarai; Khagaria; Lakhisarai; Saharsa,081ef870-6c7d-4ee7-90ff-fa2bea3e5c0d,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,11,8,7.956252,f,0,10148440,10148440,0.746307,1,t,Samastipur; Vaishali,d6c25913-3d8b-44e9-b31a-764fef4093b4,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,12,6,6.169061,f,0,7868824,7868824,0.623285,1,t,Kishanganj; Purnia,2db6d64d-0366-4f9b-ba17-061477039c33,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,13,8,7.796131,f,0,9944201,9944201,0.608565,1,t,Jamui; Munger; Nalanda; Nawada; Sheikhpura,6464b0f1-7ed6-47c7-97ca-56b39ee555fa,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,14,6,5.954843,f,0,7595583,7595583,0.701736,1,t,Gaya; Jehanabad,cf73d1f4-7255-444a-a326-9dbffdc20461,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Chhattīsgarh,1,8,7.822484,f,0,10095169,10095169,0.705418,1,t,Baloda Bazar; Bemetra; Bilaspur; Gaurella Pendra Marwahi; Kabeerdham; Mahasamund; Mungeli; Raipur,f66dd8a5-216f-4e4e-b688-4040cc51ede6,084f54dd-1287-495d-be94-7a861f1c7d46
Chhattīsgarh,2,8,8.271206,f,0,10674259,10674259,0.790818,1,t,Balod; Bastar; Bijapur; Dakshin Bastar Dantewada; Dhamtari; Durg; Gariaband; Kondagaon; Narayanpur; Rajnandgaon; Sukma; Uttar Bastar Kanker,63616fa6-ad23-4a96-888c-fc3c959c5b0e,084f54dd-1287-495d-be94-7a861f1c7d46
Chhattīsgarh,3,8,7.906310,f,0,10203349,10203349,0.775107,1,t,Balrampur; Janjgir-Champa; Jashpur; Korba; Koriya; Raigarh; Surajpur; Surguja,20503c64-92c1-4303-bba9-6f810543ade0,084f54dd-1287-495d-be94-7a861f1c7d46
Delhi,1,9,9.190500,f,0,11815010,11815010,0.791496,1,t,New Delhi; South; South East; South West; West,ec188c51-0314-4512-bb22-1359ba4309c9,91b678c8-8dd1-427a-93d7-b0301ac77e5f
Delhi,2,8,7.809500,f,0,10039640,10039640,0.768530,1,t,Central; East; North; North East; North West; Shahdara,7442572c-e3c1-4699-a7e8-a2e67e1870cd,91b678c8-8dd1-427a-93d7-b0301ac77e5f
Gujarāt,1,8,7.897191,f,0,10252951,10252951,0.679874,1,t,Dadra & Nagar Haveli; Narmada; Navsari; Surat; Tapi; The Dangs; Valsad,c8387fd8-15db-41e4-9c54-cf6d0b73a6ea,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Gujarāt,2,8,7.641494,f,0,9920978,9920978,0.825550,2,t,Anand; Bharuch; Kheda; Vadodara,121b9004-1a37-438d-8941-bfaff8564e78,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Gujarāt,3,8,8.272739,f,0,10740526,10740526,0.640861,4,t,Amreli; Morbi; Rajkot; Surendranagar,dbc3d033-639b-4ccc-9ba5-be320f7ef50a,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Gujarāt,4,9,9.131824,f,0,11855879,11855879,0.654536,3,t,Ahmadabad; Batod; Bhavnagar; Mahesana,8d273f4e-af5a-46a2-ae28-50b4248d9c3f,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Gujarāt,5,8,7.647805,f,0,9929172,9929172,0.665841,19,t,Devbhumi Dwarka; Gir Somnath; Jamnagar; Junagadh; Porbandar,1ae19b69-4cc1-4959-9c15-a6d21e064022,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Gujarāt,6,8,8.272989,f,0,10740850,10740850,0.787175,5,t,Banas Kantha; Kachchh; Patan,59b14e4b-c1f1-4ee4-9325-e14191e4f981,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Gujarāt,7,8,8.135957,f,0,10562941,10562941,0.652335,1,t,Aravali; Chhota Udaipur; Dohad; Gandhinagar; Mahisagar; Panch Mahals; Sabar Kantha,d31aabcc-4f38-40a6-876f-4e188938b927,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Haryāna,1,8,7.803565,f,0,10106493,10106493,0.642370,1,t,Ambala; Kaithal; Karnal; Kurukshetra; Panchkula; Panipat; Sonipat; Yamunanagar,acedebf2-1b3b-42d0-b0be-5d04e71a2e25,2f55d66a-a4cf-42f9-ab86-68b88d8d2dae
Haryāna,2,8,8.127258,f,0,10525712,10525712,0.552239,1,t,Faridabad; Gurgaon; Jhajjar; Jind; Mewat; Palwal; Rohtak,e42408ab-9719-43cd-abdd-435a4d14d8e3,2f55d66a-a4cf-42f9-ab86-68b88d8d2dae
Haryāna,3,8,8.069177,f,0,10450490,10450490,0.624930,1,t,Bhiwani; Fatehabad; Hisar; Mahendragarh; Rewari; Sirsa,8e2e94dc-6930-4723-856b-7509b4533790,2f55d66a-a4cf-42f9-ab86-68b88d8d2dae
India,1,9,8.784454,f,0,10509648,10509648,0.170567,37,t,Chandīgarh; Himāchal Pradesh; Ladākh; Lakshadweep,765f5f9a-70b7-49a4-bcc8-31ddf40a5954,24576efc-f6c8-4304-891b-4c19eac6695e
India,2,9,9.241451,f,0,11056396,11056396,0.033475,223,f,Andaman and Nicobar Islands; Arunāchal Pradesh; Dādra and Nagar Haveli and Damān and Diu; Goa; Manipur; Mizoram; Puducherry,f96a0c32-0753-46fe-bf90-a0b33ec7bfe9,24576efc-f6c8-4304-891b-4c19eac6695e
India,3,9,8.974095,f,0,10736533,10736533,0.240738,5,f,Meghālaya; Nāgāland; Sikkim; Tripura,163060b9-dc6a-46ae-bfd3-9c2ab0d11fba,24576efc-f6c8-4304-891b-4c19eac6695e
Jammu and Kashmīr,1,8,8.037012,f,0,7526187,7526187,0.784447,1,t,Anantnag; Badgam; Bandipore; Baramula; Doda; Ganderbal; Kishtwar; Kulgam; Kupwara; Pulwama; Punch; Shupiyan; Srinagar,d133a9b2-f1db-4b11-9fae-0b0667f35d9a,7d204158-2f79-4cd5-bb42-580ef8d2ae23
Jammu and Kashmīr,2,7,6.962988,f,0,6520427,6520427,0.827885,1,t,Jammu; Kathua; Rajouri; Ramban; Reasi; Samba; Udhampur,79ae5423-6c05-4f82-a6d7-a0ab3af70019,7d204158-2f79-4cd5-bb42-580ef8d2ae23
Jhārkhand,1,8,7.655469,f,0,9719221,9719221,0.659386,1,t,Khunti; Lohardaga; Purbi Singhbhum; Ranchi; Saraikela-Kharsawan,2c03195e-bc40-4de9-9f59-62555ab51719,1bf3192e-e316-493b-ab1b-f3dc6e9250aa
Jhārkhand,2,8,7.773222,f,0,9868718,9868718,0.592223,1,t,Chatra; Garhwa; Gumla; Latehar; Palamu; Pashchimi Singhbhum; Simdega,6c1b6c8e-f790-4333-ad98-d691c1dbaffa,1bf3192e-e316-493b-ab1b-f3dc6e9250aa
Jhārkhand,3,8,8.107882,f,0,10293595,10293595,0.807149,1,t,Bokaro; Giridih; Hazaribagh; Kodarma; Ramgarh,ddd7a25c-3138-410f-8411-2e3439251d90,1bf3192e-e316-493b-ab1b-f3dc6e9250aa
Jhārkhand,4,8,8.463427,f,0,10744987,10744987,0.811297,1,t,Deoghar; Dhanbad; Dumka; Godda; Jamtara; Pakur; Sahibganj,dc1ea36d-abe2-4f1f-8da5-4e7adc392fe7,1bf3192e-e316-493b-ab1b-f3dc6e9250aa
Karnātaka,1,8,8.285967,f,0,10538890,10538890,0.738851,1,t,Bidar; Bijapur; Gulbarga; Koppal; Raichur; Yadgir,92b2c338-e173-4641-9e34-c8b9ea6e980a,688e4841-8254-4d76-9b20-72550aad9208
Karnātaka,2,7,7.340953,f,0,9336930,9336930,0.693905,2,t,Bangalore Rural; Chikkaballapura; Kolar; Tumkur,db67356d-b0a3-4b02-b9f5-5888b7d36c56,688e4841-8254-4d76-9b20-72550aad9208
Karnātaka,3,8,7.726506,f,0,9827313,9827313,0.804971,1,t,Bangalore; Ramanagara,0b07df59-e3cf-4897-b51a-46651d5b1ef7,688e4841-8254-4d76-9b20-72550aad9208
Karnātaka,4,8,8.103710,f,0,10307078,10307078,0.815498,1,t,Chamarajanagar; Hassan; Kodagu; Mandya; Mysore,a67fe6e5-1a79-4a2c-9a1c-9e29b61b4d33,688e4841-8254-4d76-9b20-72550aad9208
Karnātaka,5,8,7.555169,f,0,9609391,9609391,0.698682,5,t,Dakshina Kannada; Shimoga; Udupi,7084e1fa-56ec-41d2-a98c-99f39765124f,688e4841-8254-4d76-9b20-72550aad9208
Karnātaka,6,8,8.285487,f,0,10538280,10538280,0.585425,10,t,Bellary; Chikmagalur; Chitradurga; Davanagere; Haveri; Uttara Kannada,944b208d-d520-4b4a-bf81-3bedf9b8fbb0,688e4841-8254-4d76-9b20-72550aad9208
Karnātaka,7,8,7.702208,f,0,9796409,9796409,0.766455,1,t,Bagalkot; Belgaum; Dharwad; Gadag,0d7ccb2f-d7f0-4cae-b196-d699cbd3b93e,688e4841-8254-4d76-9b20-72550aad9208
Kerala,1,6,5.667229,f,0,7224286,7224286,0.746588,1,t,Kannur; Kasaragod; Kozhikode; Wayanad,7f600cde-38f3-44db-9287-e2329f963ed2,969cad98-c4e1-4119-bdcc-75f7825f9f09
Kerala,2,8,8.152677,f,0,10392604,10392604,0.824544,1,t,Kollam; Kottayam; Pathanamthitta; Thiruvananthapuram,47be771d-a7ac-404f-a370-4a95621e6d53,969cad98-c4e1-4119-bdcc-75f7825f9f09
Kerala,3,8,8.278501,f,0,10552998,10552998,0.860341,1,t,Malappuram; Palakkad; Thrissur,52e09cde-6dac-4d2d-9bc4-a10c564ccaeb,969cad98-c4e1-4119-bdcc-75f7825f9f09
Kerala,4,7,6.901592,f,0,8797787,8797787,0.604052,1,t,Alappuzha; Ernakulam; Idukki,ddf58c41-3ce4-4832-b54b-8d5ce9f06119,969cad98-c4e1-4119-bdcc-75f7825f9f09
Madhya Pradesh,1,8,8.063284,f,0,10259547,10259547,0.571410,1,t,Jhabua; Mandsaur; Neemuch; Ratlam; Shajapur; Ujjain,9dfc1615-4bf4-4faa-a784-56e42bdccf0c,a590ccbb-79cc-42ea-87cd-84428d95f854
Madhya Pradesh,2,8,7.775052,f,0,9892807,9892807,0.728407,1,t,Rewa; Shahdol; Sidhi; Singrauli,021c178e-020f-43ed-860f-a1f7b0d166e4,a590ccbb-79cc-42ea-87cd-84428d95f854
Madhya Pradesh,3,8,7.951464,f,0,10117269,10117269,0.860551,1,t,Betul; Chhindwara; Harda; Hoshangabad; Narsimhapur; Seoni,4542c281-bfa6-4651-8dd4-92dfdb6cfb0e,a590ccbb-79cc-42ea-87cd-84428d95f854
Madhya Pradesh,4,7,6.565548,f,0,8353860,8353860,0.881372,1,t,Bhind; Datia; Gwalior; Morena; Sheopur; Shivpuri,65fba2b5-2f91-4492-a6cb-b2372319679b,a590ccbb-79cc-42ea-87cd-84428d95f854
Madhya Pradesh,5,8,7.955568,f,0,10122491,10122491,0.758174,1,t,Alirajpur; Barwani; Burhanpur; Dhar; Khandwa (East Nimar); Khargone (West Nimar),f714840d-db19-4373-922c-286e0c91804b,a590ccbb-79cc-42ea-87cd-84428d95f854
