scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Andhra Pradesh,1,7,7.365702,f,9459877,9459877,0.811933,1,t,East Godavari; West Godavari; Yanam,02efe86c-22e0-4d3d-ab27-add12bd55912,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,8,7.863378,f,10099049,10099049,0.733282,2,t,Guntur; Krishna,4d5c460b-0c26-480d-8095-c51644f6a049,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,3,7,6.877251,f,8832553,8832553,0.720573,1,t,Srikakulam; Visakhapatnam; Vizianagaram,9971b8b9-5c28-447a-9eb9-7c0f05b7fdc1,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,4,9,8.635171,f,11090274,11090274,0.686660,1,t,Anantapur; Kurnool; Prakasam,ead215c6-9f49-4628-afe0-d7ef76a36e6f,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,5,9,9.258499,f,11890823,11890823,0.787958,1,t,Chittoor; Kadapa(YSR); Sri Potti Sriramulu Nellore,2fa2713a-9fb4-4016-a884-aaf51589915e,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Assam,1,7,6.979899,f,8494264,8494264,0.669889,9,t,Biswanath; Cachar; Dima Hasao; Golaghat; Hailakandi; Hojai; Karbi Anglong East; Karbi Anglong West; Karimganj; Majuli,f5e0ea03-1f9c-4e15-bf44-00125ffb2302,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,2,7,7.019710,f,8542712,8542712,0.735183,1,t,Charaideo; Dhemaji; Dibrugarh; Jorhat; Lakhimpur; Sivasagar; Tinsukia,9f1cbd00-f59a-4197-b04a-9099f292bb86,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,3,8,8.028497,f,9770367,9770367,0.694102,1,t,Barpeta; Bongaigaon; Chirang; Dhubri; Goalpara; Kamrup; Kokrajhar; Nalbari; South Salmara-Mankachar,54c7281e-d418-4c11-be52-e5ec607c88c5,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,4,7,6.971894,f,8484522,8484522,0.736997,2,t,Baksa; Darrang; Morigaon; Nagaon; Sonitpur; Udalguri,603369f2-f765-46fa-a9d1-63b4614954e2,a267d3e8-3d19-461c-ab45-204a28a37b49
Bihār,1,8,8.048173,f,10265688,10265688,0.656101,1,t,Banka; Bhagalpur; Katihar,4b641e77-1df5-45ea-aebc-405eb0acc049,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,2,8,8.360995,f,10664703,10664703,0.805967,1,t,Pashchim Champaran; Purba Champaran,45a19449-8b9f-482c-81de-43411a49456d,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,3,6,5.863072,f,7478526,7478526,0.608902,1,t,Patna,606f5f85-3046-4ff6-9a38-12bea0723970,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,4,8,8.195469,f,10453569,10453569,0.799782,1,t,Darbhanga; Madhubani,a303ea65-cc0e-479e-8677-cab648f9b024,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,5,8,8.240417,f,10510902,10510902,0.689479,1,t,Araria; Madhepura; Supaul,77b9aea8-d316-4a9e-81f8-b8f486da72ec,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,6,6,5.762711,f,7350513,7350513,0.773222,1,t,Gopalganj; Siwan,74ec1350-b2ea-4d30-bce1-e2b4b9ca329d,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,7,8,8.123421,f,10361669,10361669,0.792925,1,t,Muzaffarpur; Sheohar; Sitamarhi,65023dfc-12d1-401c-ab5c-4d12d9eafa5d,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,8,8,7.925380,f,10109062,10109062,0.838328,1,t,Aurangabad; Buxar; Kaimur (Bhabua); Rohtas,142ce963-1ca0-4a53-9d1b-6be70a731199,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,9,7,6.782944,f,8651851,8651851,0.638248,1,t,Arwal; Bhojpur; Saran,76d2cc31-db3b-46c7-87d3-9edc961baf40,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
